Name,Glyph,Character,Category,Description
aogon,ą,U+00105,Latin Letters,Ogonek
Aopf,𝔸,U+1D538,Latin Letters,DoubleStruck
aopf,𝕒,U+1D552,Latin Letters,DoubleStruck
ap,≈,U+02248,Mathematical Symbols,Approx
apacir,⩯,U+02A6F,Mathematical Symbols,Approx
apE,⩰,U+02A70,Mathematical Symbols,Approx
ape,≊,U+0224A,Mathematical Symbols,Approx
apid,≋,U+0224B,Mathematical Symbols,Approx
apos,',U+00027,Punctuation,Apostrophe
ApplyFunction,⁡,U+02061,Punctuation,Function
approx,≈,U+02248,Mathematical Symbols,Approx
approxeq,≊,U+0224A,Mathematical Symbols,Approx
Aring,Å,U+000C5,Latin Letters,Ring
Aring,Å,U+000C5,Latin Letters,Ring
aring,å,U+000E5,Latin Letters,Ring
aring,å,U+000E5,Latin Letters,Ring
Ascr,𝒜,U+1D49C,Latin Letters,Script
ascr,𝒶,U+1D4B6,Latin Letters,Script
Assign,≔,U+02254,Mathematical Symbols,Assign
ast,*,U+0002A,Mathematical Symbols,Asterisk
asymp,≈,U+02248,Mathematical Symbols,Asymptotic
asympeq,≍,U+0224D,Mathematical Symbols,Asymptotic
Atilde,Ã,U+000C3,Latin Letters,Tilde
Atilde,Ã,U+000C3,Latin Letters,Tilde
atilde,ã,U+000E3,Latin Letters,Tilde
atilde,ã,U+000E3,Latin Letters,Tilde
Auml,Ä,U+000C4,Latin Letters,Umlaut
Auml,Ä,U+000C4,Latin Letters,Umlaut
auml,ä,U+000E4,Latin Letters,Umlaut
auml,ä,U+000E4,Latin Letters,Umlaut
awconint,∳,U+02233,Mathematical Symbols,Integral
awint,⨑,U+02A11,Mathematical Symbols,Integral
backcong,≌,U+0224C,Mathematical Symbols,Congruent
backepsilon,϶,U+003F6,Greek Letters,Epsilon
backprime,‵,U+02035,Technical Symbols,Prime
backsim,∽,U+0223D,Mathematical Symbols,Similar
backsimeq,⋍,U+022CD,Mathematical Symbols,Similar
Backslash,∖,U+02216,Mathematical Symbols,Backslash
Barv,⫧,U+02AE7,Mathematical Symbols,Bar
barvee,⊽,U+022BD,Mathematical Symbols,Bar
Barwed,⌆,U+02306,Technical Symbols,Bar
barwed,⌅,U+02305,Technical Symbols,Bar
barwedge,⌅,U+02305,Technical Symbols,Bar
bbrk,⎵,U+023B5,Technical Symbols,Break
bbrktbrk,⎶,U+023B6,Technical Symbols,Break
bcong,≌,U+0224C,Mathematical Symbols,Congruent
Bcy,Б,U+00411,Latin Letters,Cyrillic
bcy,б,U+00431,Latin Letters,Cyrillic
bdquo,„,U+0201E,Punctuation,Quote
becaus,∵,U+02235,Mathematical Symbols,Because
Because,∵,U+02235,Mathematical Symbols,Because
because,∵,U+02235,Mathematical Symbols,Because
bemptyv,⦰,U+029B0,Technical Symbols,Empty
bepsi,϶,U+003F6,Greek Letters,Epsilon
bernou,ℬ,U+0212C,Latin Letters,Bernoulli
Bernoullis,ℬ,U+0212C,Latin Letters,Bernoulli
Beta,Β,U+00392,Greek Letters,Beta
beta,β,U+003B2,Greek Letters,Beta
beth,ℶ,U+02136,Mathematical Symbols,Beth
between,≬,U+0226C,Mathematical Symbols,Between
Bfr,𝔅,U+1D505,Latin Letters,Fraktur
bfr,𝔟,U+1D51F,Latin Letters,Fraktur
bigcap,⋂,U+022C2,Mathematical Symbols,Intersection
bigcirc,◯,U+025EF,Geometric Shapes,Circle
bigcup,⋃,U+022C3,Mathematical Symbols,Union
bigodot,⨀,U+02A00,Mathematical Symbols,Dot
bigoplus,⨁,U+02A01,Mathematical Symbols,Plus
bigotimes,⨂,U+02A02,Mathematical Symbols,Times
bigsqcup,⨆,U+02A06,Mathematical Symbols,Square
bigstar,★,U+02605,Miscellaneous Symbols,Star
bigtriangledown,▽,U+025BD,Geometric Shapes,Triangle
bigtriangleup,△,U+025B3,Geometric Shapes,Triangle
biguplus,⨄,U+02A04,Mathematical Symbols,Union
bigvee,⋁,U+022C1,Mathematical Symbols,Or
bigwedge,⋀,U+022C0,Mathematical Symbols,And
bkarow,⤍,U+0290D,Arrows,Arrow
blacklozenge,⧫,U+029EB,Geometric Shapes,Lozenge
blacksquare,▪,U+025AA,Geometric Shapes,Square
blacktriangle,▴,U+025B4,Geometric Shapes,Triangle
blacktriangledown,▾,U+025BE,Geometric Shapes,Triangle
blacktriangleleft,◂,U+025C2,Geometric Shapes,Triangle
blacktriangleright,▸,U+025B8,Geometric Shapes,Triangle
blank,␣,U+02423,Technical Symbols,Blank
blk12,▒,U+02592,Geometric Shapes,Block
blk14,░,U+02591,Geometric Shapes,Block
blk34,▓,U+02593,Geometric Shapes,Block
block,█,U+02588,Geometric Shapes,Block
bne,#NAME?,U+0003D U+020E5,Other,NotEqual
bnequiv,≡⃥,U+02261 U+020E5,Mathematical Symbols,NotEquivalent
bNot,⫭,U+02AED,Mathematical Symbols,Not
bnot,⌐,U+02310,Technical Symbols,Not
Bopf,𝔹,U+1D539,Latin Letters,DoubleStruck
bopf,𝕓,U+1D553,Latin Letters,DoubleStruck
bot,⊥,U+022A5,Mathematical Symbols,Bottom
bottom,⊥,U+022A5,Mathematical Symbols,Bottom
bowtie,⋈,U+022C8,Mathematical Symbols,Bowtie
boxbox,⧉,U+029C9,Technical Symbols,Box
boxDL,╗,U+02557,Geometric Shapes,Box
boxDl,╖,U+02556,Geometric Shapes,Box
boxdL,╕,U+02555,Geometric Shapes,Box
boxdl,┐,U+02510,Geometric Shapes,Box
boxDR,╔,U+02554,Geometric Shapes,Box
boxDr,╓,U+02553,Geometric Shapes,Box
boxdR,╒,U+02552,Geometric Shapes,Box
boxdr,┌,U+0250C,Geometric Shapes,Box
boxH,═,U+02550,Geometric Shapes,Box
boxh,─,U+02500,Geometric Shapes,Box
boxHD,╦,U+02566,Geometric Shapes,Box
boxHd,╤,U+02564,Geometric Shapes,Box
boxhD,╥,U+02565,Geometric Shapes,Box
boxhd,┬,U+0252C,Geometric Shapes,Box
boxHU,╩,U+02569,Geometric Shapes,Box
boxHu,╧,U+02567,Geometric Shapes,Box
boxhU,╨,U+02568,Geometric Shapes,Box
boxhu,┴,U+02534,Geometric Shapes,Box
boxminus,⊟,U+0229F,Mathematical Symbols,Minus
boxplus,⊞,U+0229E,Mathematical Symbols,Plus
boxtimes,⊠,U+022A0,Mathematical Symbols,Times
boxUL,╝,U+0255D,Geometric Shapes,Box
boxUl,╜,U+0255C,Geometric Shapes,Box
boxuL,╛,U+0255B,Geometric Shapes,Box
boxul,┘,U+02518,Geometric Shapes,Box
boxUR,╚,U+0255A,Geometric Shapes,Box
boxUr,╙,U+02559,Geometric Shapes,Box
boxuR,╘,U+02558,Geometric Shapes,Box
boxur,└,U+02514,Geometric Shapes,Box
boxV,║,U+02551,Geometric Shapes,Box
boxv,│,U+02502,Geometric Shapes,Box
boxVH,╬,U+0256C,Geometric Shapes,Box
boxVh,╫,U+0256B,Geometric Shapes,Box
boxvH,╪,U+0256A,Geometric Shapes,Box
boxvh,┼,U+0253C,Geometric Shapes,Box
boxVL,╣,U+02563,Geometric Shapes,Box
boxVl,╢,U+02562,Geometric Shapes,Box
boxvL,╡,U+02561,Geometric Shapes,Box
boxvl,┤,U+02524,Geometric Shapes,Box
boxVR,╠,U+02560,Geometric Shapes,Box
boxVr,╟,U+0255F,Geometric Shapes,Box
boxvR,╞,U+0255E,Geometric Shapes,Box
boxvr,├,U+0251C,Geometric Shapes,Box
bprime,‵,U+02035,Technical Symbols,Prime
Breve,˘,U+002D8,Punctuation,Breve
breve,˘,U+002D8,Punctuation,Breve
brvbar,¦,U+000A6,Punctuation,Bar
brvbar,¦,U+000A6,Punctuation,Bar
Bscr,ℬ,U+0212C,Latin Letters,Script
bscr,𝒷,U+1D4B7,Latin Letters,Script
bsemi,⁏,U+0204F,Punctuation,SemiColon
bsim,∽,U+0223D,Mathematical Symbols,Similar
bsime,⋍,U+022CD,Mathematical Symbols,Similar
bsol,\,U+0005C,Punctuation,Backslash
bsolb,⧅,U+029C5,Technical Symbols,Backslash
bsolhsub,⟈,U+027C8,Technical Symbols,Backslash
bull,•,U+02022,Punctuation,Bullet
bullet,•,U+02022,Punctuation,Bullet
bump,≎,U+0224E,Mathematical Symbols,Bump
bumpE,⪮,U+02AAE,Mathematical Symbols,Bump
bumpe,≏,U+0224F,Mathematical Symbols,Bump
Bumpeq,≎,U+0224E,Mathematical Symbols,Bump
bumpeq,≏,U+0224F,Mathematical Symbols,Bump
Cacute,Ć,U+00106,Latin Letters,Acute
cacute,ć,U+00107,Latin Letters,Acute
Cap,⋒,U+022D2,Mathematical Symbols,Cap
cap,∩,U+02229,Mathematical Symbols,Cap
capand,⩄,U+02A44,Mathematical Symbols,Cap
capbrcup,⩉,U+02A49,Mathematical Symbols,Cap
capcap,⩋,U+02A4B,Mathematical Symbols,Cap
capcup,⩇,U+02A47,Mathematical Symbols,Cap
capdot,⩀,U+02A40,Mathematical Symbols,Cap
CapitalDifferentialD,ⅅ,U+02145,Latin Letters,Differential
caps,∩︀,U+02229 U+0FE00,Mathematical Symbols,Cap
caret,⁁,U+02041,Punctuation,Caret
caron,ˇ,U+002C7,Punctuation,Caron
Cayleys,ℭ,U+0212D,Latin Letters,Cayley
ccaps,⩍,U+02A4D,Mathematical Symbols,Cap
Ccaron,Č,U+0010C,Latin Letters,Caron
ccaron,č,U+0010D,Latin Letters,Caron
Ccedil,Ç,U+000C7,Latin Letters,Cedilla
ccedil;,ç,U+000E7,Latin Letters,cedilla
ccedil,ç,U+000E7,Latin Letters,cedilla
Ccirc;,Ĉ,U+00108,Latin Letters,C-circumflex
ccirc;,ĉ,U+00109,Latin Letters,c-circumflex
Cconint;,∰,U+02230,Mathematical Symbols,contour-integral
ccups;,⩌,U+02A4C,Mathematical Symbols,cup-cap
ccupssm;,⩐,U+02A50,Mathematical Symbols,cup-cap-small
Cdot;,Ċ,U+0010A,Latin Letters,C-dot
cdot;,ċ,U+0010B,Latin Letters,c-dot
cedil;,¸,U+000B8,Punctuation,cedilla
cedil,¸,U+000B8,Punctuation,cedilla
Cedilla;,¸,U+000B8,Punctuation,cedilla
cemptyv;,⦲,U+029B2,Technical Symbols,empty-set
cent;,¢,U+000A2,Currency,cent
cent,¢,U+000A2,Currency,cent
CenterDot;,·,U+000B7,Punctuation,center-dot
centerdot;,·,U+000B7,Punctuation,center-dot
Cfr;,ℭ,U+0212D,Latin Letters,C-fraktur
cfr;,𝔠,U+1D520,Latin Letters,c-fraktur
CHcy;,Ч,U+00427,Latin Letters,Cyrillic-CH
chcy;,ч,U+00447,Latin Letters,Cyrillic-ch
check;,✓,U+02713,Miscellaneous Symbols,check
checkmark;,✓,U+02713,Miscellaneous Symbols,checkmark
Chi;,Χ,U+003A7,Greek Letters,Greek-chi
chi;,χ,U+003C7,Greek Letters,Greek-chi
cir;,○,U+025CB,Geometric Shapes,circle
circ;,ˆ,U+002C6,Punctuation,circumflex
circeq;,≗,U+02257,Mathematical Symbols,circle-equal
circlearrowleft;,↺,U+021BA,Arrows,circle-arrow-left
circlearrowright;,↻,U+021BB,Arrows,circle-arrow-right
circledast;,⊛,U+0229B,Mathematical Symbols,circle-asterisk
circledcirc;,⊚,U+0229A,Mathematical Symbols,circle-circle
circleddash;,⊝,U+0229D,Mathematical Symbols,circle-dash
CircleDot;,⊙,U+02299,Mathematical Symbols,circle-dot
circledR;,®,U+000AE,Other,registered
circledS;,Ⓢ,U+024C8,Other,circled-S
CircleMinus;,⊖,U+02296,Mathematical Symbols,circle-minus
CirclePlus;,⊕,U+02295,Mathematical Symbols,circle-plus
CircleTimes;,⊗,U+02297,Mathematical Symbols,circle-times
cirE;,⧃,U+029C3,Technical Symbols,circle-E
cire;,≗,U+02257,Mathematical Symbols,circle-equal
cirfnint;,⨐,U+02A10,Mathematical Symbols,circle-integral
cirmid;,⫯,U+02AEF,Mathematical Symbols,circle-mid
cirscir;,⧂,U+029C2,Technical Symbols,circle-circle
ClockwiseContourIntegral;,∲,U+02232,Mathematical Symbols,clockwise-integral
CloseCurlyDoubleQuote;,”,U+0201D,Punctuation,close-double-quote
CloseCurlyQuote;,’,U+02019,Punctuation,close-quote
clubs;,♣,U+02663,Miscellaneous Symbols,club
clubsuit;,♣,U+02663,Miscellaneous Symbols,club
Colon;,∷,U+02237,Mathematical Symbols,colon
colon;,:,U+0003A,Punctuation,colon
Colone;,⩴,U+02A74,Mathematical Symbols,colon-equal
colone;,≔,U+02254,Mathematical Symbols,colon-equal
coloneq;,≔,U+02254,Mathematical Symbols,colon-equal
comma;, ,U+0002C,Punctuation,comma
commat;,@,U+00040,Punctuation,at
comp;,∁,U+02201,Mathematical Symbols,complement
compfn;,∘,U+02218,Mathematical Symbols,compose-function
complement;,∁,U+02201,Mathematical Symbols,complement
complexes;,ℂ,U+02102,Latin Letters,complex
cong;,≅,U+02245,Mathematical Symbols,congruent
congdot;,⩭,U+02A6D,Mathematical Symbols,congruent-dot
Congruent;,≡,U+02261,Mathematical Symbols,congruent
Conint;,∯,U+0222F,Mathematical Symbols,contour-integral
conint;,∮,U+0222E,Mathematical Symbols,contour-integral
ContourIntegral;,∮,U+0222E,Mathematical Symbols,contour-integral
Copf;,ℂ,U+02102,Latin Letters,C-double-struck
copf;,𝕔,U+1D554,Latin Letters,c-double-struck
coprod;,∐,U+02210,Mathematical Symbols,co-product
Coproduct;,∐,U+02210,Mathematical Symbols,co-product
COPY;,©,U+000A9,Other,copyright
COPY,©,U+000A9,Other,copyright
copy;,©,U+000A9,Other,copyright
copy,©,U+000A9,Other,copyright
copysr;,℗,U+02117,Other,sound-recording-copyright
CounterClockwiseContourIntegral;,∳,U+02233,Mathematical Symbols,counterclockwise-integral
crarr;,↵,U+021B5,Arrows,carriage-return
Cross;,⨯,U+02A2F,Mathematical Symbols,cross
cross;,✗,U+02717,Miscellaneous Symbols,cross
Cscr;,𝒞,U+1D49E,Latin Letters,C-script
cscr;,𝒸,U+1D4B8,Latin Letters,c-script
csub;,⫏,U+02ACF,Mathematical Symbols,subset
csube;,⫑,U+02AD1,Mathematical Symbols,subset-equal
csup;,⫐,U+02AD0,Mathematical Symbols,superset
csupe;,⫒,U+02AD2,Mathematical Symbols,superset-equal
ctdot;,⋯,U+022EF,Mathematical Symbols,three-dots
cudarrl;,⤸,U+02938,Arrows,arrow-left-right
cudarrr;,⤵,U+02935,Arrows,arrow-right-down
cuepr;,⋞,U+022DE,Mathematical Symbols,precedes-equal
cuesc;,⋟,U+022DF,Mathematical Symbols,succeeds-equal
cularr;,↶,U+021B6,Arrows,curve-arrow-left
cularrp;,⤽,U+0293D,Arrows,curve-arrow-left
Cup;,⋓,U+022D3,Mathematical Symbols,union
cup;,∪,U+0222A,Mathematical Symbols,union
cupbrcap;,⩈,U+02A48,Mathematical Symbols,union-intersection
CupCap;,≍,U+0224D,Mathematical Symbols,union-cap
cupcap;,⩆,U+02A46,Mathematical Symbols,union-cap
cupcup;,⩊,U+02A4A,Mathematical Symbols,union-union
cupdot;,⊍,U+0228D,Mathematical Symbols,union-dot
cupor;,⩅,U+02A45,Mathematical Symbols,union-or
cups,∪︀,U+0222A U+0FE00,Mathematical Symbols,union
curarr;,↷,U+021B7,Arrows,curve-arrow-right
curarrm;,⤼,U+0293C,Arrows,curve-arrow-right
curlyeqprec;,⋞,U+022DE,Mathematical Symbols,curly-equal-precedes
curlyeqsucc;,⋟,U+022DF,Mathematical Symbols,curly-equal-succeeds
curlyvee;,⋎,U+022CE,Mathematical Symbols,curly-vee
curlywedge;,⋏,U+022CF,Mathematical Symbols,curly-wedge
curren;,¤,U+000A4,Currency,currency
curren,¤,U+000A4,Currency,currency
curvearrowleft;,↶,U+021B6,Arrows,curve-arrow-left
curvearrowright;,↷,U+021B7,Arrows,curve-arrow-right
cuvee;,⋎,U+022CE,Mathematical Symbols,curly-vee
cuwed;,⋏,U+022CF,Mathematical Symbols,curly-wedge
cwconint;,∲,U+02232,Mathematical Symbols,clockwise-integral
cwint;,∱,U+02231,Mathematical Symbols,clockwise-integral
cylcty;,⌭,U+0232D,Technical Symbols,cylindricity
Dagger;,‡,U+02021,Punctuation,double-dagger
dagger;,†,U+02020,Punctuation,dagger
daleth;,ℸ,U+02138,Mathematical Symbols,daleth
Darr;,↡,U+021A1,Arrows,down-arrow
dArr;,⇓,U+021D3,Arrows,down-arrow
darr;,↓,U+02193,Arrows,down-arrow
dash;,‐,U+02010,Punctuation,dash
Dashv;,⫤,U+02AE4,Mathematical Symbols,vertical-dash
dashv;,⊣,U+022A3,Mathematical Symbols,vertical-dash
dbkarow;,⤏,U+0290F,Arrows,double-arrow
dblac;,˝,U+002DD,Punctuation,double-acute
Dcaron;,Ď,U+0010E,Latin Letters,D-caron
dcaron;,ď,U+0010F,Latin Letters,d-caron
Dcy;,Д,U+00414,Latin Letters,Cyrillic-D
dcy;,д,U+00434,Latin Letters,Cyrillic-d
DD;,ⅅ,U+02145,Latin Letters,capital-D
dd;,ⅆ,U+02146,Latin Letters,small-d
ddagger;,‡,U+02021,Punctuation,double-dagger
ddarr;,⇊,U+021CA,Arrows,double-down-arrow
DDotrahd;,⤑,U+02911,Arrows,double-arrow
ddotseq;,⩷,U+02A77,Mathematical Symbols,double-dot-equal
deg;,°,U+000B0,Technical Symbols,degree
deg,°,U+000B0,Technical Symbols,degree
Del;,∇,U+02207,Mathematical Symbols,del
Delta;,Δ,U+00394,Greek Letters,Greek-Delta
delta;,δ,U+003B4,Greek Letters,Greek-delta
demptyv;,⦱,U+029B1,Technical Symbols,empty-set
dfisht;,⥿,U+0297F,Technical Symbols,fish-tail
Dfr;,𝔇,U+1D507,Latin Letters,D-fraktur
dfr;,𝔡,U+1D521,Latin Letters,d-fraktur
dHar;,⥥,U+02965,Arrows,down-harpoon
dharl;,⇃,U+021C3,Arrows,down-harpoon-left
dharr;,⇂,U+021C2,Arrows,down-harpoon-right
DiacriticalAcute;,´,U+000B4,Punctuation,acute
DiacriticalDot;,˙,U+002D9,Punctuation,dot
DiacriticalDoubleAcute;,˝,U+002DD,Punctuation,double-acute
DiacriticalGrave;,`,U+00060,Punctuation,grave
DiacriticalTilde;,˜,U+002DC,Punctuation,tilde
diam;,⋄,U+022C4,Mathematical Symbols,diamond
Diamond;,⋄,U+022C4,Mathematical Symbols,diamond
diamond;,⋄,U+022C4,Mathematical Symbols,diamond
diamondsuit;,♦,U+02666,Miscellaneous Symbols,diamond
diams;,♦,U+02666,Miscellaneous Symbols,diamond
die;,¨,U+000A8,Punctuation,diaeresis
DifferentialD;,ⅆ,U+02146,Latin Letters,differential
digamma;,ϝ,U+003DD,Greek Letters,digamma
disin;,⋲,U+022F2,Mathematical Symbols,disjoint
div;,÷,U+000F7,Mathematical Symbols,divide
divide;,÷,U+000F7,Mathematical Symbols,divide
divide,÷,U+000F7,Mathematical Symbols,divide
divideontimes;,⋇,U+022C7,Mathematical Symbols,divide-times
divonx;,⋇,U+022C7,Mathematical Symbols,divide-times
DJcy;,Ђ,U+00402,Latin Letters,Cyrillic-DJ
djcy;,ђ,U+00452,Latin Letters,Cyrillic-dj
dlcorn;,⌞,U+0231E,Technical Symbols,down-left-corner
dlcrop;,⌍,U+0230D,Technical Symbols,down-left-crop
dollar;, $,U+00024,Currency,dollar
Dopf;,𝔻,U+1D53B,Latin Letters,D-double-struck
dopf;,𝕕,U+1D555,Latin Letters,d-double-struck
Dot;,¨,U+000A8,Punctuation,dot
dot;,˙,U+002D9,Punctuation,dot
DotDot;,◌⃜,U+020DC,Punctuation,dot-dot
doteq;,≐,U+02250,Mathematical Symbols,dot-equal
doteqdot;,≑,U+02251,Mathematical Symbols,dot-equal-dot
DotEqual;,≐,U+02250,Mathematical Symbols,dot-equal
dotminus;,∸,U+02238,Mathematical Symbols,dot-minus
dotplus;,∔,U+02214,Mathematical Symbols,dot-plus
dotsquare;,⊡,U+022A1,Mathematical Symbols,dot-square
doublebarwedge;,⌆,U+02306,Technical Symbols,double-bar-wedge
DoubleContourIntegral;,∯,U+0222F,Mathematical Symbols,double-contour-integral
DoubleDot;,¨,U+000A8,Punctuation,double-dot
DoubleDownArrow;,⇓,U+021D3,Arrows,double-down-arrow
DoubleLeftArrow;,⇐,U+021D0,Arrows,double-left-arrow
DoubleLeftRightArrow;,⇔,U+021D4,Arrows,double-left-right-arrow
DoubleLeftTee;,⫤,U+02AE4,Mathematical Symbols,double-left-tee
DoubleLongLeftArrow;,⟸,U+027F8,Arrows,double-long-left-arrow
DoubleLongLeftRightArrow;,⟺,U+027FA,Arrows,double-long-left-right-arrow
DoubleLongRightArrow;,⟹,U+027F9,Arrows,double-long-right-arrow
DoubleRightArrow;,⇒,U+021D2,Arrows,double-right-arrow
DoubleRightTee;,⊨,U+022A8,Mathematical Symbols,double-right-tee
DoubleUpArrow;,⇑,U+021D1,Arrows,double-up-arrow
DoubleUpDownArrow;,⇕,U+021D5,Arrows,double-up-down-arrow
DoubleVerticalBar;,∥,U+02225,Mathematical Symbols,double-vertical-bar
DownArrow;,↓,U+02193,Arrows,down-arrow
Downarrow;,⇓,U+021D3,Arrows,down-arrow
downarrow;,↓,U+02193,Arrows,down-arrow
DownArrowBar;,⤓,U+02913,Arrows,down-arrow-bar
DownArrowUpArrow;,⇵,U+021F5,Arrows,down-arrow-up-arrow
DownBreve;,◌̑,U+00311,Other,down-breve
downdownarrows;,⇊,U+021CA,Arrows,down-down-arrows
downharpoonleft;,⇃,U+021C3,Arrows,down-harpoon-left
downharpoonright;,⇂,U+021C2,Arrows,down-harpoon-right
DownLeftRightVector;,⥐,U+02950,Arrows,down-left-right-vector
DownLeftTeeVector;,⥞,U+0295E,Arrows,down-left-tee-vector
DownLeftVector;,↽,U+021BD,Arrows,down-left-vector
DownLeftVectorBar;,⥖,U+02956,Arrows,down-left-vector-bar
DownRightTeeVector;,⥟,U+0295F,Arrows,down-right-tee-vector
DownRightVector;,⇁,U+021C1,Arrows,down-right-vector
DownRightVectorBar;,⥗,U+02957,Arrows,down-right-vector-bar
DownTee;,⊤,U+022A4,Mathematical Symbols,down-tee
DownTeeArrow;,↧,U+021A7,Arrows,down-tee-arrow
drbkarow;,⤐,U+02910,Arrows,down-right-arrow
drcorn;,⌟,U+0231F,Technical Symbols,down-right-corner
drcrop;,⌌,U+0230C,Technical Symbols,down-right-crop
Dscr;,𝒟,U+1D49F,Latin Letters,D-script
dscr;,𝒹,U+1D4B9,Latin Letters,d-script
DScy;,Ѕ,U+00405,Latin Letters,Cyrillic-DS
dscy;,ѕ,U+00455,Latin Letters,Cyrillic-ds
dsol;,⧶,U+029F6,Technical Symbols,solidus
Dstrok;,Đ,U+00110,Latin Letters,D-stroke
dstrok;,đ,U+00111,Latin Letters,d-stroke
dtdot;,⋱,U+022F1,Mathematical Symbols,three-dots
dtri;,▿,U+025BF,Geometric Shapes,down-triangle
dtrif;,▾,U+025BE,Geometric Shapes,down-triangle
duarr;,⇵,U+021F5,Arrows,down-up-arrows
duhar;,⥯,U+0296F,Arrows,down-up-harpoons
dwangle;,⦦,U+029A6,Technical Symbols,down-angle
DZcy;,Џ,U+0040F,Latin Letters,Cyrillic-DZ
dzcy;,џ,U+0045F,Latin Letters,Cyrillic-dz
dzigrarr;,⟿,U+027FF,Arrows,zigzag-arrow
Eacute;,É,U+000C9,Latin Letters,E-acute
Eacute,É,U+000C9,Latin Letters,E-acute
eacute;,é,U+000E9,Latin Letters,e-acute
eacute,é,U+000E9,Latin Letters,e-acute
easter;,⩮,U+02A6E,Mathematical Symbols,easter
Ecaron;,Ě,U+0011A,Latin Letters,E-caron
ecaron;,ě,U+0011B,Latin Letters,e-caron
ecir;,≖,U+02256,Mathematical Symbols,equal-circle
Ecirc;,Ê,U+000CA,Latin Letters,E-circumflex
Ecirc,Ê,U+000CA,Latin Letters,E-circumflex
ecirc;,ê,U+000EA,Latin Letters,e-circumflex
ecirc,ê,U+000EA,Latin Letters,e-circumflex
ecolon;,≕,U+02255,Mathematical Symbols,equal-colon
Ecy;,Э,U+0042D,Latin Letters,Cyrillic-E
ecy;,э,U+0044D,Latin Letters,Cyrillic-e
eDDot;,⩷,U+02A77,Mathematical Symbols,equal-dot
Edot;,Ė,U+00116,Latin Letters,E-dot
eDot;,≑,U+02251,Mathematical Symbols,equal-dot
edot;,ė,U+00117,Latin Letters,e-dot
ee;,ⅇ,U+02147,Latin Letters,e
efDot;,≒,U+02252,Mathematical Symbols,equal-falling-dot
Efr;,𝔈,U+1D508,Latin Letters,E-fraktur
efr;,𝔢,U+1D522,Latin Letters,e-fraktur
eg;,⪚,U+02A9A,Mathematical Symbols,equal-greater
Egrave;,È,U+000C8,Latin Letters,E-grave
